"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","United States","Both","00-04 yrs","2014","2016","Suicide Firearm","2014","0","19870818","0"
"Both Sexes","All Races","United States","Both","00-04 yrs","2014","2016","Suicide Firearm","2015","0","19915730","0"
"Both Sexes","All Races","United States","Both","00-04 yrs","2014","2016","Suicide Firearm","2016","0","19919577","0"
"Both Sexes","All Races","United States","Both","00-04 yrs","2014","2016","Suicide Firearm","","0","59706125","0"
"Both Sexes","All Races","United States","Both","05-09 yrs","2014","2016","Suicide Firearm","2014","0","20515383","0"
"Both Sexes","All Races","United States","Both","05-09 yrs","2014","2016","Suicide Firearm","2015","1","20475944","0"
"Both Sexes","All Races","United States","Both","05-09 yrs","2014","2016","Suicide Firearm","2016","0","20429504","0"
"Both Sexes","All Races","United States","Both","05-09 yrs","2014","2016","Suicide Firearm","","1","61420831","0"
"Both Sexes","All Races","United States","Both","10-14 yrs","2014","2016","Suicide Firearm","2014","174","20669496","0.84"
"Both Sexes","All Races","United States","Both","10-14 yrs","2014","2016","Suicide Firearm","2015","139","20610350","0.67"
"Both Sexes","All Races","United States","Both","10-14 yrs","2014","2016","Suicide Firearm","2016","160","20627202","0.78"
"Both Sexes","All Races","United States","Both","10-14 yrs","2014","2016","Suicide Firearm","","473","61907048","0.76"
"Both Sexes","All Races","United States","Both","15-19 yrs","2014","2016","Suicide Firearm","2014","758","21060374","3.6"
"Both Sexes","All Races","United States","Both","15-19 yrs","2014","2016","Suicide Firearm","2015","877","21094434","4.16"
"Both Sexes","All Races","United States","Both","15-19 yrs","2014","2016","Suicide Firearm","2016","942","21151384","4.45"
"Both Sexes","All Races","United States","Both","15-19 yrs","2014","2016","Suicide Firearm","","2577","63306192","4.07"
"Both Sexes","All Races","United States","Both","Total","2014","2016","Suicide Firearm","","3051","246340196","1.24"
